# LiB3O5 / LBO (dispersive) -- principal refractive index
# source: C. Chen, Y. Wu, A. Jiang, B. Wu, G. You, R. Li, S. Lin. New nonlinear-optical crystal: LiB3O5. J. Opt. Soc. Am. B 6, 616-621 (1989); dispersion formula from F. Hanson and D. Dick, Opt. Lett. 16, 205-207 (1991).
# doi: 10.1364/JOSAB.6.000616   conditions: room temperature
# validity: 0.2894-1.064 um
# via refractiveindex.info database (CC0): LiB3O5/nk/Chen-alpha.yml, LiB3O5/nk/Chen-beta.yml, LiB3O5/nk/Chen-gamma.yml
# generated by benchmarks/generate_dispersion_tables.py; max interpolation error vs the closed form 1.1e-06
wavelength_um,nx,ny,nz
0.992,1.5666446,1.5917444,1.6068845
0.994,1.5666134,1.5917117,1.6068475
0.996,1.5665823,1.5916791,1.6068105
0.998,1.5665512,1.5916467,1.6067735
1,1.5665202,1.5916143,1.6067367
1.002,1.5664893,1.5915821,1.6066999
1.004,1.5664583,1.59155,1.6066631
1.006,1.5664275,1.5915179,1.6066264
1.008,1.5663966,1.591486,1.6065898
1.01,1.5663659,1.5914541,1.6065532
1.012,1.5663351,1.5914224,1.6065167
1.014,1.5663044,1.5913908,1.6064803
1.016,1.5662738,1.5913592,1.6064438
1.018,1.5662431,1.5913278,1.6064075
1.02,1.5662126,1.5912964,1.6063712
1.022,1.566182,1.5912651,1.606335
1.024,1.5661515,1.591234,1.6062988
1.026,1.5661211,1.5912029,1.6062626
1.028,1.5660907,1.5911719,1.6062265
1.03,1.5660603,1.591141,1.6061905
1.032,1.56603,1.5911102,1.6061545
1.034,1.5659996,1.5910795,1.6061186
1.036,1.5659694,1.5910489,1.6060827
1.038,1.5659391,1.5910184,1.6060468
1.04,1.5659089,1.5909879,1.606011
1.042,1.5658788,1.5909575,1.6059753
1.044,1.5658487,1.5909273,1.6059396
1.046,1.5658186,1.5908971,1.6059039
1.048,1.5657885,1.590867,1.6058683
1.05,1.5657585,1.5908369,1.6058327
1.052,1.5657285,1.590807,1.6057972
1.054,1.5656985,1.5907771,1.6057617
1.056,1.5656685,1.5907473,1.6057262
1.058,1.5656386,1.5907176,1.6056908
1.06,1.5656088,1.590688,1.6056554
1.062,1.5655789,1.5906584,1.6056201
1.064,1.5655491,1.590629,1.6055848
