# TaAs (dispersive) -- principal refractive index and extinction coefficient
# source: R. Zu, M. Gu, L. Min, C. Hu, N. Ni, Z. Mao, J. M. Rondinelli, V. Gopalan. Comprehensive anisotropic linear optical properties of the Weyl semimetals TaAs and NbAs. Phys. Rev. B 103, 165137 (2021).
# doi: 10.1103/PhysRevB.103.165137   conditions: spectroscopic ellipsometry, room temperature, Lorentz model of Eq. 1
# validity: 0.2066-1.0332 um (the measured window, 1.2-6 eV)
# Lorentz-oscillator model of Eq. 1 with the INFRARED POLE TAKEN NEGATIVE -- the printed plus disagrees with the paper's own Fig. 1 and with the exported case-study registry; see benchmarks/generate_dispersion_tables.py
# generated by benchmarks/generate_dispersion_tables.py
wavelength_um,no,ne,ko,ke
0.5756,3.3517981,3.9277926,2.4030919,2.4884286
0.5766,3.3533612,3.9323209,2.403822,2.4839413
0.5776,3.3549179,3.9365753,2.4045615,2.4795332
0.5786,3.3564686,3.9405751,2.4053104,2.4752229
0.5796,3.3580134,3.9443403,2.4060688,2.4710257
0.5806,3.3595527,3.9478914,2.4068368,2.4669541
0.5816,3.3610868,3.9512486,2.4076144,2.4630178
0.5826,3.3626158,3.954432,2.4084016,2.459224
0.5836,3.3641401,3.9574607,2.4091985,2.4555776
0.5846,3.36566,3.9603535,2.4100052,2.4520814
0.5856,3.3671758,3.9631277,2.4108216,2.4487364
0.5866,3.3686877,3.9657998,2.4116478,2.4455423
0.5876,3.370196,3.9683852,2.4124838,2.4424973
0.5886,3.371701,3.970898,2.4133297,2.4395986
0.5896,3.3732031,3.9733513,2.4141853,2.4368425
0.5906,3.3747025,3.975757,2.4150508,2.4342246
0.5916,3.3761996,3.9781258,2.415926,2.4317399
0.5926,3.3776946,3.9804676,2.4168111,2.4293831
0.5936,3.3791879,3.982791,2.4177058,2.4271486
0.5946,3.3806797,3.985104,2.4186102,2.4250304
0.5956,3.3821705,3.9874134,2.4195243,2.4230227
0.5966,3.3836604,3.9897254,2.420448,2.4211195
0.5976,3.3851499,3.9920455,2.4213811,2.4193147
0.5986,3.3866392,3.9943784,2.4223237,2.4176026
0.5996,3.3881288,3.9967282,2.4232756,2.4159772
0.6,3.3887247,3.9976737,2.4236589,2.4153501
0.602,3.3917063,4.0024572,2.4255975,2.4123969
0.604,3.394693,4.0073487,2.4275718,2.4097169
0.606,3.3976875,4.012363,2.4295807,2.4072702
0.608,3.4006924,4.0175103,2.4316226,2.4050203
0.61,3.4037101,4.0227962,2.4336961,2.4029336
0.612,3.4067433,4.0282233,2.4357993,2.4009799
0.614,3.4097943,4.0337917,2.4379302,2.3991313
0.616,3.4128657,4.0394995,2.4400865,2.3973631
0.618,3.4159595,4.0453432,2.4422659,2.3956527
0.62,3.4190781,4.051318,2.4444655,2.3939797
0.622,3.4222233,4.0574183,2.4466825,2.3923258
0.624,3.4253971,4.0636377,2.4489137,2.3906745
0.626,3.4286011,4.0699693,2.4511557,2.3890111
0.628,3.4318367,4.0764058,2.453405,2.387322
0.63,3.4351051,4.0829395,2.4556577,2.3855953
0.632,3.4384071,4.0895626,2.4579099,2.3838202
0.634,3.4417434,4.0962669,2.4601574,2.3819871
0.636,3.4451142,4.1030444,2.4623959,2.3800873
0.638,3.4485194,4.1098868,2.464621,2.3781132
0.64,3.4519585,4.1167858,2.4668282,2.376058
0.642,3.4554307,4.1237331,2.4690128,2.3739156
0.644,3.4589346,4.1307206,2.4711703,2.371681
0.646,3.4624684,4.1377399,2.4732961,2.3693495
0.648,3.46603,4.144783,2.4753856,2.3669174
0.65,3.4696168,4.1518418,2.4774344,2.3643814
0.652,3.4732255,4.1589083,2.4794383,2.3617389
0.654,3.4768526,4.1659746,2.4813932,2.358988
0.656,3.4804942,4.173033,2.4832952,2.3561271
0.658,3.4841457,4.1800759,2.485141,2.3531552
0.66,3.4878024,4.1870958,2.4869273,2.3500718
