# LiNbO3 (dispersive) -- principal refractive index
# source: D. E. Zelmon, D. L. Small, D. Jundt. Infrared corrected Sellmeier coefficients for congruently grown lithium niobate and 5 mol.% magnesium oxide-doped lithium niobate. J. Opt. Soc. Am. B 14, 3319-3322 (1997).
# doi: 10.1364/JOSAB.14.003319   conditions: congruently grown LiNbO3, 21 C
# validity: 0.4-5 um
# via refractiveindex.info database (CC0): LiNbO3/nk/Zelmon-o.yml, LiNbO3/nk/Zelmon-e.yml
# generated by benchmarks/generate_dispersion_tables.py; max interpolation error vs the closed form 2.2e-06
wavelength_um,no,ne
1.452,2.2145296,2.1404738
1.454,2.2144577,2.1404124
1.456,2.2143858,2.140351
1.458,2.2143141,2.1402898
1.46,2.2142424,2.1402287
1.462,2.2141709,2.1401677
1.464,2.2140994,2.1401067
1.466,2.2140281,2.1400458
1.468,2.2139568,2.1399851
1.47,2.2138857,2.1399244
1.472,2.2138146,2.1398638
1.474,2.2137437,2.1398032
1.476,2.2136728,2.1397428
1.478,2.213602,2.1396824
1.48,2.2135314,2.1396222
1.482,2.2134608,2.139562
1.484,2.2133903,2.1395019
1.486,2.2133199,2.1394419
1.488,2.2132496,2.1393819
1.49,2.2131794,2.139322
1.492,2.2131093,2.1392622
1.494,2.2130392,2.1392025
1.496,2.2129693,2.1391429
1.498,2.2128994,2.1390833
1.5,2.2128296,2.1390239
1.52,2.2121364,2.1384331
1.54,2.211451,2.1378492
1.56,2.2107727,2.1372716
1.58,2.2101009,2.1366998
1.6,2.2094351,2.1361333
1.62,2.2087745,2.1355715
1.64,2.2081188,2.135014
1.66,2.2074674,2.1344605
1.68,2.2068199,2.1339104
1.7,2.2061758,2.1333635
1.72,2.2055348,2.1328193
1.74,2.2048964,2.1322775
1.76,2.2042602,2.1317379
1.78,2.203626,2.1312
1.8,2.2029934,2.1306637
1.82,2.202362,2.1301287
1.84,2.2017317,2.1295947
1.86,2.2011021,2.1290614
1.88,2.200473,2.1285287
1.9,2.1998441,2.1279964
1.92,2.1992152,2.1274641
1.94,2.198586,2.1269318
1.96,2.1979564,2.1263993
1.98,2.1973261,2.1258664
2,2.196695,2.1253328
2.02,2.1960629,2.1247985
2.04,2.1954295,2.1242633
2.06,2.1947948,2.1237271
2.08,2.1941586,2.1231897
2.1,2.1935207,2.122651
2.12,2.1928809,2.1221108
2.14,2.1922392,2.1215691
2.16,2.1915954,2.1210257
2.18,2.1909494,2.1204805
2.2,2.190301,2.1199335
2.22,2.1896501,2.1193844
2.24,2.1889967,2.1188333
2.26,2.1883406,2.1182799
2.28,2.1876817,2.1177243
2.3,2.1870199,2.1171664
2.32,2.1863552,2.116606
2.34,2.1856874,2.1160431
2.36,2.1850164,2.1154776
2.38,2.1843421,2.1149094
2.4,2.1836645,2.1143385
2.42,2.1829836,2.1137647
2.44,2.1822991,2.1131881
2.46,2.1816111,2.1126085
2.48,2.1809194,2.112026
2.5,2.180224,2.1114404
2.52,2.1795249,2.1108516
2.54,2.1788219,2.1102597
2.56,2.1781151,2.1096645
2.58,2.1774042,2.1090661
2.6,2.1766894,2.1084643
2.62,2.1759705,2.1078591
2.64,2.1752474,2.1072504
2.66,2.1745202,2.1066383
2.68,2.1737887,2.1060227
2.7,2.1730529,2.1054035
2.72,2.1723128,2.1047806
2.74,2.1715683,2.1041541
2.76,2.1708194,2.1035239
2.78,2.1700659,2.10289
2.8,2.169308,2.1022523
2.82,2.1685455,2.1016107
2.84,2.1677783,2.1009653
2.86,2.1670065,2.100316
2.88,2.16623,2.0996627
2.9,2.1654487,2.0990055
2.92,2.1646627,2.0983443
2.94,2.1638718,2.097679
2.96,2.1630761,2.0970097
2.98,2.1622755,2.0963363
3,2.1614699,2.0956587
3.02,2.1606594,2.094977
3.04,2.1598438,2.094291
3.06,2.1590232,2.0936009
3.08,2.1581976,2.0929064
3.1,2.1573668,2.0922077
3.12,2.1565309,2.0915047
3.14,2.1556897,2.0907973
3.16,2.1548434,2.0900856
3.18,2.1539919,2.0893694
3.2,2.153135,2.0886488
3.22,2.1522729,2.0879237
3.24,2.1514054,2.0871942
