# KTP (dispersive) -- principal refractive index
# source: K. Kato and E. Takaoka. Sellmeier and thermo-optic dispersion formulas for KTP. Appl. Opt. 41, 5040-5044 (2002).
# doi: 10.1364/AO.41.005040   conditions: 20 C
# validity: 0.43-3.54 um
# via refractiveindex.info database (CC0): KTiOPO4/nk/Kato-alpha.yml, KTiOPO4/nk/Kato-beta.yml, KTiOPO4/nk/Kato-gamma.yml
# generated by benchmarks/generate_dispersion_tables.py; max interpolation error vs the closed form 2.9e-06
wavelength_um,nx,ny,nz
0.982,1.7403918,1.7481116,1.8332296
0.984,1.740326,1.748041,1.8331343
0.986,1.7402604,1.7479708,1.8330395
0.988,1.7401952,1.7479009,1.8329452
0.99,1.7401303,1.7478314,1.8328514
0.992,1.7400657,1.7477622,1.832758
0.994,1.7400015,1.7476933,1.832665
0.996,1.7399375,1.7476248,1.8325726
0.998,1.7398738,1.7475566,1.8324805
1,1.7398105,1.7474887,1.8323889
1.002,1.7397474,1.7474211,1.8322978
1.004,1.7396847,1.7473538,1.8322071
1.006,1.7396222,1.7472868,1.8321168
1.008,1.73956,1.7472202,1.8320269
1.01,1.7394981,1.7471538,1.8319375
1.012,1.7394365,1.7470878,1.8318484
1.014,1.7393752,1.747022,1.8317598
1.016,1.7393141,1.7469566,1.8316716
1.018,1.7392533,1.7468914,1.8315839
1.02,1.7391928,1.7468266,1.8314965
1.022,1.7391326,1.746762,1.8314095
1.024,1.7390727,1.7466977,1.8313229
1.026,1.739013,1.7466337,1.8312367
1.028,1.7389535,1.74657,1.8311509
1.03,1.7388944,1.7465065,1.8310655
1.032,1.7388355,1.7464433,1.8309804
1.034,1.7387768,1.7463804,1.8308958
1.036,1.7387184,1.7463178,1.8308115
1.038,1.7386603,1.7462554,1.8307276
1.04,1.7386024,1.7461933,1.830644
1.042,1.7385448,1.7461315,1.8305608
1.044,1.7384874,1.7460699,1.830478
1.046,1.7384302,1.7460086,1.8303955
1.048,1.7383733,1.7459476,1.8303134
1.05,1.7383166,1.7458867,1.8302317
1.052,1.7382602,1.7458262,1.8301503
1.054,1.738204,1.7457659,1.8300692
1.056,1.738148,1.7457058,1.8299885
1.058,1.7380923,1.745646,1.8299081
1.06,1.7380368,1.7455864,1.8298281
1.062,1.7379815,1.7455271,1.8297484
1.064,1.7379265,1.745468,1.829669
1.066,1.7378716,1.7454091,1.8295899
1.068,1.737817,1.7453505,1.8295112
1.07,1.7377626,1.7452921,1.8294328
1.072,1.7377085,1.745234,1.8293547
1.074,1.7376545,1.745176,1.8292769
1.076,1.7376007,1.7451183,1.8291995
1.078,1.7375472,1.7450608,1.8291223
1.08,1.7374939,1.7450035,1.8290455
1.082,1.7374408,1.7449465,1.828969
1.084,1.7373878,1.7448897,1.8288927
1.086,1.7373351,1.744833,1.8288168
